,release,capture_dates_range,vda_id,ffe_elev_status,ffe_ft,ffe_lhsm_ft,ffe_foundation
84,2,2/3/2020-2/23/2020,FMB2194,elevated,9.013953488,,Wall
85,2,2/3/2020-2/23/2020,FMB2245,elevated,8.856825749,6.376914539,Piles/Columns
86,2,2/3/2020-2/23/2020,FMB2246,elevated,9.108424437,7.015948553,Piles/Columns
87,2,2/3/2020-2/23/2020,FMB1822,elevated,6.826934097,5.347765043,Wall
88,2,2/3/2020-2/23/2020,,,,,
89,2,2/3/2020-2/23/2020,FMB2247,elevated,9.22323049,6.818602541,Wall
90,2,2/3/2020-2/23/2020,,,,,
91,2,2/3/2020-2/23/2020,FMB2248,not-elevated,0.0,,Slab-on-Grade
92,2,2/3/2020-2/23/2020,FMB1825,not-elevated,0.0,,Slab-on-Grade
93,2,2/3/2020-2/23/2020,FMB1826,not-elevated,0.0,,Slab-on-Grade
94,2,2/3/2020-2/23/2020,FMB2195,elevated,8.235294118,,Wall
95,2,2/3/2020-2/23/2020,FMB2249,elevated,8.262912874,6.381924577,Wall
96,2,2/3/2020-2/23/2020,,,,,
97,2,2/3/2020-2/23/2020,FMB2250,elevated,8.387563636,5.780618182,Piles/Columns
98,2,2/3/2020-2/23/2020,FMB3022,elevated,8.474876289,5.738474227,Piles/Columns
99,2,2/3/2020-2/23/2020,FMB2251,elevated,8.040930506,6.09057715,Piles/Columns
100,2,2/3/2020-2/23/2020,FMB2252,not-elevated,0.0,,Slab-on-Grade
101,2,2/3/2020-2/23/2020,FMB2253,elevated,8.767494457,8.14421286,Wall
102,2,2/3/2020-2/23/2020,FMB2780,elevated,7.087864078,5.944660194,Wall
103,2,2/3/2020-2/23/2020,FMB2451,elevated,6.212535971,5.700161871,Piles/Columns
104,2,2/3/2020-2/23/2020,FMB3116,elevated,18.04511278,,Wall
105,2,2/3/2020-2/23/2020,FMB2254,not-elevated,0.0,,Slab-on-Grade
106,2,2/3/2020-2/23/2020,FMB3023,elevated,5.546273408,4.633595506,Piles/Columns
107,2,2/3/2020-2/23/2020,,,,,
108,2,2/3/2020-2/23/2020,FMB2255,elevated,8.125,,Piles/Columns
109,2,2/3/2020-2/23/2020,FMB2256,,,,
110,2,2/3/2020-2/23/2020,FMB1838,elevated,6.259130435,5.917101449,Piles/Columns
111,2,2/3/2020-2/23/2020,FMB2257,elevated,8.413265045,6.939974392,Piles/Columns
112,2,2/3/2020-2/23/2020,FMB2258,not-elevated,1.827355623,,Slab-on-Grade
113,2,2/3/2020-2/23/2020,FMB3024,elevated,7.687182045,6.800199501,Piles/Columns
114,2,2/3/2020-2/23/2020,FMB1593,not-elevated,0.0,,Slab-on-Grade
115,2,2/3/2020-2/23/2020,FMB2259,,,,
116,2,2/3/2020-2/23/2020,FMB1843,,,,
117,2,2/3/2020-2/23/2020,FMB2849,elevated,7.037210256,6.086235897,Piles/Columns
118,2,2/3/2020-2/23/2020,FMB2196,elevated,11.16899696,9.99331307,Piles/Columns
119,2,2/3/2020-2/23/2020,FMB3025,elevated,11.28965385,8.488461538,Piles/Columns
120,2,2/3/2020-2/23/2020,FMB2260,elevated,7.261132867,5.43593007,Wall
121,2,2/3/2020-2/23/2020,FMB1847,elevated,3.490617577,3.094774347,Crawlspace
122,2,2/3/2020-2/23/2020,FMB3026,elevated,7.154591549,3.957859155,Piles/Columns
123,2,2/3/2020-2/23/2020,FMB2460,not-elevated,0.0,,Slab-on-Grade
124,2,2/3/2020-2/23/2020,FMB2197,elevated,6.058171745,,Wall
125,2,2/3/2020-2/23/2020,FMB2781,elevated,9.984353481,6.967804132,Wall
126,2,2/3/2020-2/23/2020,FMB3219,not-elevated,11.22069519,,Slab-on-Grade
127,2,2/3/2020-2/23/2020,FMB1856,not-elevated,0.0,,Slab-on-Grade
128,2,2/3/2020-2/23/2020,FMB2198,elevated,10.15384615,,Wall
129,2,2/3/2020-2/23/2020,FMB2199,elevated,,,Piles/Columns
130,2,2/3/2020-2/23/2020,FMB2261,elevated,9.57216,7.19264,Piles/Columns
131,2,2/3/2020-2/23/2020,FMB2262,elevated,6.584025618,3.938389753,Wall
132,2,2/3/2020-2/23/2020,FMB2200,elevated,9.783972125,,Wall
133,2,2/3/2020-2/23/2020,FMB2263,elevated,7.030390335,5.918866171,Wall
134,2,2/3/2020-2/23/2020,FMB2264,not-elevated,0.0,,Slab-on-Grade
135,2,2/3/2020-2/23/2020,FMB3027,elevated,6.650165017,4.962046205,Piles/Columns
136,2,2/3/2020-2/23/2020,FMB1861,elevated,8.508243352,7.174198227,Piles/Columns
137,2,2/3/2020-2/23/2020,FMB1864,elevated,10.625,,Wall
138,2,2/3/2020-2/23/2020,FMB1865,elevated,8.060183673,6.181122449,Wall
139,2,2/3/2020-2/23/2020,FMB1868,elevated,9.131236476,6.979289026,Wall
140,2,2/3/2020-2/23/2020,FMB2265,elevated,8.385357143,7.225119048,Wall
141,2,2/3/2020-2/23/2020,FMB1869,elevated,9.916468254,7.717599206,Piles/Columns
142,2,2/3/2020-2/23/2020,FMB2201,not-elevated,0.0,,Slab-on-Grade
143,2,2/3/2020-2/23/2020,FMB2266,elevated,7.199801587,4.039583333,Wall
144,2,2/3/2020-2/23/2020,FMB2202,elevated,11.00866667,8.368833333,Piles/Columns
145,2,2/3/2020-2/23/2020,FMB2267,elevated,10.1484507,7.168350101,Wall
146,2,2/3/2020-2/23/2020,FMB3019,elevated,5.749547368,3.615694737,Crawlspace
147,2,2/3/2020-2/23/2020,FMB1879,elevated,12.27038328,10.19233449,Wall
148,2,2/3/2020-2/23/2020,FMB1880,elevated,9.026740576,7.24368071,Piles/Columns
149,2,2/3/2020-2/23/2020,FMB2203,elevated,11.32016632,9.467775468,Piles/Columns
150,2,2/3/2020-2/23/2020,FMB2204,elevated,9.375,,Wall
151,2,2/3/2020-2/23/2020,FMB1885,not-elevated,0.0,,Slab-on-Grade
152,2,2/3/2020-2/23/2020,FMB2205,not-elevated,0.0,,Slab-on-Grade
153,2,2/3/2020-2/23/2020,FMB2206,not-elevated,0.0,,Crawlspace
154,2,2/3/2020-2/23/2020,FMB1889,elevated,8.257745455,5.906581818,Wall
155,2,2/3/2020-2/23/2020,FMB2853,elevated,17.31349448,15.27353591,Piles/Columns
156,2,2/3/2020-2/23/2020,FMB2268,not-elevated,0.0,,Slab-on-Grade
157,2,2/3/2020-2/23/2020,FMB3028,elevated,11.42518987,8.946139241,Wall
158,2,2/3/2020-2/23/2020,FMB2269,not-elevated,0.0,,Slab-on-Grade
